evidence_mode,run_id,task_family,task_count,parsed_count,verified_completion,coverage,selective_risk,invalid_output_rate,quarantine_frequency,grade_status_distribution
output_only,heldout_output_only_run_001,code_system_version_validation,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
output_only,heldout_output_only_run_001,evidence_sufficiency,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
output_only,heldout_output_only_run_001,field_anomaly_bleed,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
output_only,heldout_output_only_run_001,orphan_duplicate_detection,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
output_only,heldout_output_only_run_001,patient_identity_normalization,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
output_only,heldout_output_only_run_001,policy_action_selection,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
output_only,heldout_output_only_run_001,rpms_to_fhir_mapping,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
output_only,heldout_output_only_run_001,temporal_status_classification,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
token_top_k,heldout_token_top_k_run_002,code_system_version_validation,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
token_top_k,heldout_token_top_k_run_002,evidence_sufficiency,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
token_top_k,heldout_token_top_k_run_002,field_anomaly_bleed,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
token_top_k,heldout_token_top_k_run_002,orphan_duplicate_detection,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
token_top_k,heldout_token_top_k_run_002,patient_identity_normalization,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
token_top_k,heldout_token_top_k_run_002,policy_action_selection,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
token_top_k,heldout_token_top_k_run_002,rpms_to_fhir_mapping,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
token_top_k,heldout_token_top_k_run_002,temporal_status_classification,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
full_category_evidence,heldout_full_category_evidence_run_001,code_system_version_validation,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
full_category_evidence,heldout_full_category_evidence_run_001,evidence_sufficiency,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
full_category_evidence,heldout_full_category_evidence_run_001,field_anomaly_bleed,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
full_category_evidence,heldout_full_category_evidence_run_001,orphan_duplicate_detection,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
full_category_evidence,heldout_full_category_evidence_run_001,patient_identity_normalization,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
full_category_evidence,heldout_full_category_evidence_run_001,policy_action_selection,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
full_category_evidence,heldout_full_category_evidence_run_001,rpms_to_fhir_mapping,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
full_category_evidence,heldout_full_category_evidence_run_001,temporal_status_classification,32,0,0,0.0,,1.0,1.0,"{""safe_parse_reject"": 32}"
